BuildingType;PrimaryPropertyType;Neighborhood;YearBuilt;NumberofBuildings;NumberofFloors;PropertyGFATotal;PropertyGFAParking;PropertyGFABuilding(s);LargestPropertyUseType;LargestPropertyUseTypeGFA;SecondLargestPropertyUseType;SecondLargestPropertyUseTypeGFA;ThirdLargestPropertyUseType;ThirdLargestPropertyUseTypeGFA;ENERGYSTARScore;SiteEUI(kBtu/sf);SiteEUIWN(kBtu/sf);SourceEUI(kBtu/sf);SourceEUIWN(kBtu/sf);SiteEnergyUse(kBtu);SiteEnergyUseWN(kBtu);SteamUse(kBtu);Electricity(kWh);Electricity(kBtu);NaturalGas(therms);NaturalGas(kBtu);TotalGHGEmissions;GHGEmissionsIntensity
NonResidential;Hotel;DOWNTOWN;1978;1.0;5;68410;16200;52210;Hotel;47994.0;none;0.0;none;0.0;57.0;92.90000153;95.0;199.6999969;206.3000031;4456714.5;4557974.0;0.0;687675.625;2346349.0;21103.65039;2110365.0;128.44;1.88
NonResidential;Small- and Mid-Sized Office;LAKE UNION;1906;1.0;3;87262;0;87262;Office;40943.0;K-12 School;18153.0;Other - Entertainment/Public Assembly;4307.0;;61.5;69.80000305;106.5;115.9000015;4145920.5;4703690.0;0.0;396495.6875;1352843.0;27930.77148;2793077.0;157.77;1.81
NonResidential;Hotel;NORTHEAST;1994;1.0;4;81871;0;81871;Hotel;81871.0;none;0.0;none;0.0;29.0;81.5;82.19999695;162.5;164.8999939;6668568.5;6731281.5;0.0;884056.0;3016399.0;36521.69141;3652169.0;215.0;2.63
NonResidential;Self-Storage Facility;NORTHEAST;1955;1.0;2;110356;0;110356;Self-Storage Facility;26225.0;none;0.0;none;0.0;;12.10000038;12.39999962;35.20000076;35.5;318364.8125;326223.0938;0.0;82434.0;281265.0;371.0;37100.0;3.93;0.04
Campus;Mixed Use Property;GREATER DUWAMISH;1992;1.0;3;494835;0;494835;Office;757027.0;Laboratory;639931.0;Non-Refrigerated Warehouse;459748.0;8.0;221.6999969;233.1000061;388.2000122;400.2999878;448385312.0;471613856.0;0.0;44102076.0;150476283.0;2979090.0;297909000.0;16870.98;34.09
NonResidential;Warehouse;GREATER DUWAMISH;1961;3.0;2;714095;0;714095;Non-Refrigerated Warehouse;616000.0;Refrigerated Warehouse;276000.0;Office;71000.0;;46.40000153;45.79999924;145.8999939;143.8000031;44731160.0;44110016.0;0.0;13109951.0;44731153.0;0.0;0.0;311.84;0.44
SPS-District K-12;K-12 School;MAGNOLIA / QUEEN ANNE;1990;1.0;2;54986;0;54986;K-12 School;54986.0;none;0.0;none;0.0;97.0;30.0;32.79999924;77.80000305;83.19999695;1650279.25;1802471.375;0.0;356855.0;1217589.0;4326.897461;432690.0;31.47;0.57
NonResidential;Small- and Mid-Sized Office;BALLARD;1961;1.0;2;94900;0;94900;Office;55586.0;Non-Refrigerated Warehouse;39314.0;none;0.0;57.0;65.19999695;68.90000153;163.0;165.8999939;6186461.5;6536359.5;0.0;1257791.75;4291585.0;18948.75977;1894876.0;130.56;1.38
NonResidential;Small- and Mid-Sized Office;GREATER DUWAMISH;1900;1.0;2;52554;0;52554;Office;51029.0;Other - Education;7849.0;none;0.0;83.0;50.09999847;53.5;108.6999969;112.3000031;2951331.25;3150635.5;0.0;462998.0;1579749.0;13715.82031;1371582.0;83.86;1.6
NonResidential;K-12 School;NORTHWEST;1954;1.0;3;175015;0;175015;K-12 School;175015.0;none;0.0;none;0.0;95.0;40.0;45.09999847;74.0;80.40000153;6994740.5;7886505.5;0.0;785386.6875;2679739.0;43150.00781;4315001.0;247.85;1.42
NonResidential;Self-Storage Facility;DOWNTOWN;1911;1.0;3;70586;0;70586;Self-Storage Facility;38439.0;Vocational School;28197.0;Office;3859.0;;30.60000038;33.09999847;76.59999847;79.19999695;2158629.0;2331573.25;0.0;439691.9063;1500229.0;6584.0;658400.0;45.43;0.64
NonResidential;Hotel;DOWNTOWN;1969;1.0;24;332210;205970;126240;Hotel;348630.0;none;0.0;none;0.0;67.0;46.40000153;46.40000153;121.8000031;121.8000031;16163194.0;16163194.0;0.0;3576906.75;12204406.0;39587.86719;3958787.0;295.33;0.89
NonResidential;Large Office;DOWNTOWN;1973;1.0;5;168115;0;168115;Office;103362.0;Retail Store;65676.0;Data Center;493.0;78.0;56.29999924;56.29999924;176.6000061;176.6000061;9536161.0;9536161.0;0.0;2794888.75;9536160.0;0.0;0.0;66.48;0.4
NonResidential;Other;DOWNTOWN;1920;1.0;2;57428;0;57428;Other - Mall;51747.0;Personal Services (Health/Beauty, Dry Cleaning, etc);5681.0;none;0.0;;21.70000076;21.60000038;48.79999924;48.40000153;1247362.0;1239429.75;0.0;209536.5938;714939.0;5324.230469;532423.0;33.26;0.58
NonResidential;Small- and Mid-Sized Office;DOWNTOWN;1910;1.0;8;59400;0;59400;Office;34947.0;Retail Store;4993.0;none;0.0;14.0;85.40000153;88.30000305;398.7000122;412.2000122;5071974.0;5242479.5;0.0;1486510.375;5071973.0;0.0;0.0;35.36;0.6
NonResidential;Mixed Use Property;DOWNTOWN;1926;1.0;2;52549;0;52549;Other - Entertainment/Public Assembly;23500.0;Restaurant;23500.0;Office;5459.0;;286.3999939;299.0;485.2999878;495.5;15026196.0;15683742.0;0.0;1357696.125;4632459.0;103937.3672;10393737.0;584.31;11.12
NonResidential;Hotel;DOWNTOWN;1930;1.0;20;98634;10043;88591;Hotel;83591.0;Parking;10043.0;Restaurant;5000.0;71.0;54.59999847;57.29999924;158.6000061;167.0;4841347.5;5078816.0;0.0;1257344.25;4290059.0;5512.879883;551288.0;59.19;0.6
NonResidential;Hotel;DOWNTOWN;1982;1.0;34;994212;146694;847518;Hotel;994212.0;Parking;117668.0;Swimming Pool;0.0;63.0;80.90000153;82.80000305;182.5;184.5;80469216.0;82318072.0;11598686.0;13348631.0;45545529.0;233249.9219;23324992.0;2451.58;2.47
NonResidential;Hotel;DOWNTOWN;1985;1.0;7;71150;0;71150;Hotel;41340.0;Parking;13730.0;Retail Store;9604.0;98.0;93.09999847;93.09999847;215.8999939;215.8999939;5348309.0;5348309.0;0.0;950732.8125;3243900.0;21044.08008;2104408.0;134.38;1.89
NonResidential;Hotel;DOWNTOWN;1908;1.0;7;122810;0;122810;Hotel;88360.0;Other - Entertainment/Public Assembly;26450.0;Retail Store;8000.0;99.0;44.0;49.59999847;68.19999695;74.09999847;5401277.5;6088417.5;0.0;379121.0938;1293561.0;41077.16016;4107716.0;227.18;1.85
NonResidential;Hotel;LAKE UNION;1959;1.0;5;113173;42546;70627;Hotel;70627.0;Parking;42546.0;none;0.0;86.0;74.80000305;76.90000153;165.6999969;172.1000061;5284343.5;5428403.5;0.0;863036.3125;2944680.0;23396.62891;2339663.0;144.79;1.28
NonResidential;Hotel;LAKE UNION;2000;1.0;7;150453;34735;115718;Hotel;107547.0;Restaurant;3000.0;none;0.0;84.0;60.70000076;61.79999924;128.0;129.8000031;6715187.0;6835263.5;0.0;995342.5;3396109.0;33190.77734;3319078.0;199.95;1.33
NonResidential;Hotel;LAKE UNION;1997;1.0;6;116300;28200;88100;Hotel;88490.0;Parking;28300.0;none;0.0;80.0;65.90000153;67.09999847;144.5;147.1000061;5827595.5;5941927.0;0.0;934483.3125;3188457.0;26391.38086;2639138.0;162.39;1.4
NonResidential;Hotel;MAGNOLIA / QUEEN ANNE;1998;1.0;6;155602;36744;118858;Hotel;155602.0;none;0.0;none;0.0;81.0;43.90000153;44.0;107.4000015;107.5999985;6836900.0;6849826.5;0.0;1336148.125;4558937.0;22779.61914;2277962.0;152.76;0.98
NonResidential;K-12 School;EAST;1911;1.0;3;56072;0;56072;K-12 School;56072.0;none;0.0;none;0.0;76.0;57.70000076;67.80000305;81.09999847;92.69999695;3234787.75;3800842.5;0.0;161743.0938;551867.0;26829.20117;2682920.0;146.34;2.61
NonResidential;Hotel;MAGNOLIA / QUEEN ANNE;1999;1.0;4;122942;44891;78051;Hotel;78051.0;Parking;44891.0;none;0.0;94.0;68.40000153;69.0;136.6999969;138.6999969;5337334.0;5387530.0;0.0;710354.5;2423730.0;29136.03906;2913604.0;171.64;1.4
NonResidential;Small- and Mid-Sized Office;CENTRAL;1962;1.0;2;54984;0;54984;Office;54984.0;none;0.0;none;0.0;71.0;61.40000153;66.0;139.6000061;144.5;3375211.0;3630147.25;0.0;579786.0;1978230.0;13969.80957;1396981.0;87.98;1.6
NonResidential;Hotel;LAKE UNION;2008;1.0;6;84103;20732;63371;Hotel;63371.0;Parking;20732.0;none;0.0;74.0;58.5;59.79999924;154.1999969;156.6999969;3706100.25;3787499.0;0.0;824351.625;2812688.0;8934.120117;893412.0;67.06;0.8
NonResidential;Medical Office;EAST;1965;0.0;3;179014;0;179014;Medical Office;179014.0;none;0.0;none;0.0;48.0;93.30000305;92.30000305;213.3999939;210.3000031;16701055.0;16527711.0;0.0;2897562.75;9886484.0;68145.70313;6814570.0;430.84;2.41
NonResidential;Hotel;EAST;1908;1.0;7;76631;0;76631;Hotel;76631.0;none;0.0;none;0.0;71.0;94.69999695;94.59999847;172.0;171.6999969;7258758.5;7250730.5;0.0;779819.0;2660742.0;45980.16016;4598016.0;262.75;3.43
NonResidential;Mixed Use Property;EAST;1983;1.0;6;99780;9341;90439;Medical Office;40174.0;Parking;20868.0;Office;17020.0;;204.5;207.3000031;505.7999878;504.2999878;15473117.0;15684371.0;5327802.5;2973421.25;10145313.0;0.0;0.0;481.97;4.83
NonResidential;Retail Store;LAKE UNION;1929;1.0;2;58320;0;58320;Retail Store;72072.0;none;0.0;none;0.0;96.0;14.60000038;17.20000076;25.79999924;28.79999924;1049748.625;1243027.75;0.0;106038.5;361803.0;6879.452148;687945.0;39.06;0.67
NonResidential;Large Office;LAKE UNION;2010;1.0;5;316306;0;316306;Office;261826.0;Parking;150726.0;Other;15139.0;96.0;48.0;48.40000153;144.0;144.3999939;13795954.0;13909270.0;0.0;3772301.0;12871091.0;9248.610352;924861.0;138.85;0.44
NonResidential;Hotel;LAKE UNION;1990;1.0;7;282863;44766;238097;Hotel;235788.0;Parking;51537.0;none;0.0;37.0;82.5;85.59999847;184.0;189.1999969;19459304.0;20194606.0;0.0;3218245.0;10980652.0;84786.50781;8478651.0;526.85;1.86
Nonresidential COS;Other;MAGNOLIA / QUEEN ANNE;1962;1.0;1;389000;0;389000;Other;368000.0;none;0.0;none;0.0;;64.30000305;64.5;151.6000061;152.1000061;23658978.0;23736924.0;6093150.0;4226010.0;14419146.0;6886.799805;688680.0;607.41;1.56
Nonresidential COS;Other;MAGNOLIA / QUEEN ANNE;1962;1.0;1;91213;0;91213;Other;65000.0;none;0.0;none;0.0;;125.1999969;125.9000015;261.7000122;265.3999939;8141155.5;8181881.0;4120130.0;1100268.125;3754115.0;0.0;0.0;344.2;3.77
Nonresidential COS;Other;MAGNOLIA / QUEEN ANNE;1938;1.0;5;396085;0;396085;Other;278500.0;none;0.0;none;0.0;;75.19999695;76.30000305;138.1000061;140.0;20955026.0;21257836.0;9763690.0;2125534.75;7252325.0;0.0;0.0;804.2;2.03
NonResidential;Large Office;LAKE UNION;2010;1.0;12;571329;0;571329;Office;598801.0;Parking;310699.0;Other;26203.0;91.0;63.40000153;64.19999695;174.1999969;176.3999939;39605888.0;40153432.0;0.0;9439097.0;32206199.0;73996.85156;7399685.0;617.52;1.08
Nonresidential COS;Other;MAGNOLIA / QUEEN ANNE;1962;1.0;2;52000;0;52000;Other;52000.0;none;0.0;none;0.0;;52.40000153;51.59999847;110.4000015;109.5;2726369.0;2682242.75;1202380.0;379058.9063;1293349.0;0.0;0.0;101.83;1.96
Nonresidential COS;Other;MAGNOLIA / QUEEN ANNE;1928;1.0;1;60696;0;60696;Other;108000.0;none;0.0;none;0.0;;8.100000381;8.100000381;25.5;25.5;875943.3125;875943.3125;0.0;256724.2969;875943.0;0.0;0.0;6.11;0.1
Nonresidential COS;Other;MAGNOLIA / QUEEN ANNE;1928;1.0;2;262048;0;262048;Other;296000.0;none;0.0;none;0.0;;70.0;70.30000305;171.1999969;175.1999969;20723248.0;20823520.0;5137220.0;3960341.75;13512686.0;0.0;0.0;490.73;1.87
NonResidential;Small- and Mid-Sized Office;MAGNOLIA / QUEEN ANNE;1986;0.0;2;66240;2352;63888;Office;45900.0;Data Center;5181.0;Distribution Center;4551.0;;74.90000153;75.40000153;235.1999969;236.6000061;4166306.25;4192107.75;0.0;1221074.25;4166305.0;0.0;0.0;29.04;0.44
NonResidential;Large Office;MAGNOLIA / QUEEN ANNE;2010;1.0;6;920598;303707;616891;Office;729584.0;Parking;185014.0;Other;6000.0;93.0;49.79999924;51.79999924;130.8000031;131.6000061;36667044.0;38105108.0;0.0;8088294.5;27597261.0;90697.79688;9069780.0;674.09;0.73
NonResidential;Small- and Mid-Sized Office;MAGNOLIA / QUEEN ANNE;1970;1.0;4;76213;25930;50283;Office;48546.0;Parking;21454.0;Other;2406.0;68.0;68.19999695;71.59999847;192.3999939;196.0;3476212.5;3647345.75;0.0;863039.875;2944692.0;5315.200195;531520.0;48.76;0.64
NonResidential;Hotel;MAGNOLIA / QUEEN ANNE;2002;1.0;6;96910;36934;59976;Hotel;59976.0;Parking;36934.0;none;0.0;56.0;86.0;87.90000153;182.1999969;188.3999939;5155568.5;5274523.0;0.0;772863.625;2637011.0;25185.58008;2518558.0;152.14;1.57
NonResidential;Hotel;NORTHEAST;1962;2.0;4;50017;0;50017;Hotel;50017.0;Swimming Pool;0.0;none;0.0;53.0;108.9000015;110.5;203.3000031;205.8000031;5448975.0;5528580.5;0.0;623770.6875;2128306.0;33206.69141;3320669.0;191.2;3.82
NonResidential;K-12 School;EAST;1923;1.0;3;67743;0;67743;K-12 School;67743.0;none;0.0;none;0.0;34.0;39.09999847;44.79999924;82.30000305;89.30000305;2646879.0;3036464.0;0.0;392082.5938;1337786.0;13090.93066;1309093.0;78.85;1.16
NonResidential;K-12 School;EAST;1908;1.0;6;194104;0;194104;K-12 School;194104.0;none;0.0;none;0.0;100.0;32.0;37.09999847;54.0;60.09999847;6219841.5;7204080.0;0.0;553309.6875;1887893.0;43319.48828;4331949.0;243.23;1.25
NonResidential;Small- and Mid-Sized Office;SOUTHEAST;2003;1.0;3;99433;35752;63681;Office;63681.0;Parking;35752.0;none;0.0;63.0;76.90000153;78.19999695;241.5;245.6000061;4897760.0;4980737.5;0.0;1435451.25;4897760.0;0.0;0.0;34.14;0.34
NonResidential;Other;NORTHEAST;1941;1.0;4;56521;0;56521;Other;49000.0;none;0.0;none;0.0;;129.6999969;129.8999939;407.3999939;408.0;6357632.0;6367210.0;0.0;1863315.125;6357631.0;0.0;0.0;44.32;0.78
NonResidential;Other;NORTHEAST;1929;1.0;2;206934;0;206934;Other;119146.0;Parking;0.0;none;0.0;;35.70000076;36.79999924;72.59999847;72.90000153;4253577.5;4384625.5;0.0;586489.8125;2001103.0;22524.74023;2252474.0;133.58;0.65
NonResidential;Hotel;NORTHWEST;2001;1.0;4;51390;0;51390;Hotel;51390.0;Parking;0.0;none;0.0;89.0;70.30000305;70.40000153;130.6999969;130.8999939;3611538.0;3616214.0;0.0;409815.0;1398289.0;22132.49023;2213249.0;127.29;2.48
SPS-District K-12;K-12 School;NORTHWEST;1959;1.0;1;245587;0;245587;K-12 School;245587.0;none;0.0;none;0.0;92.0;47.90000153;52.40000153;83.69999695;89.09999847;11765682.0;12870916.0;0.0;1150648.125;3926011.0;78396.69531;7839670.0;443.73;1.81
NonResidential;Hotel;NORTHWEST;2002;1.0;3;69138;0;69138;Hotel;70609.0;none;0.0;none;0.0;78.0;45.90000153;47.09999847;101.5999985;104.6999969;3242458.0;3323400.5;0.0;528396.6875;1802889.0;14395.68164;1439568.0;89.02;1.29
NonResidential;Hotel;DOWNTOWN;1904;1.0;5;190980;0;190980;Hotel;190980.0;Parking;19051.0;none;0.0;98.0;34.09999847;34.09999847;84.0;84.0;6505995.0;6505995.0;0.0;1290419.25;4402910.0;21030.83984;2103084.0;142.39;0.75
Nonresidential COS;Other;DOWNTOWN;1998;1.0;6;284100;0;284100;Other - Entertainment/Public Assembly;189750.0;none;0.0;none;0.0;;77.19999695;78.40000153;192.5;192.0;14641502.0;14881950.0;4311136.0;2873101.25;9803021.0;5273.430176;527343.0;429.12;1.51
NonResidential;Hospital;BALLARD;1954;4.0;5;285333;0;285333;Hospital (General Medical & Surgical);302661.0;Parking;148865.0;none;0.0;14.0;225.0;157.3000031;479.5;251.8000031;68090728.0;47602720.0;0.0;10327434.0;35237205.0;328535.125;32853512.0;1990.5;6.98
Nonresidential COS;Other;DOWNTOWN;2006;1.0;4;61156;0;61156;Other;42755.0;Office;29219.0;none;0.0;;130.1000061;132.6999969;338.2999878;337.1000061;9363374.0;9550716.0;0.0;2036128.25;6947270.0;24161.04102;2416104.0;176.75;2.89
NonResidential;Other;DOWNTOWN;1910;1.0;4;72820;13820;59000;Museum;58000.0;none;0.0;none;0.0;;34.70000076;36.09999847;83.69999695;85.19999695;2010454.625;2095175.25;0.0;384428.3125;1311669.0;6987.850098;698785.0;46.26;0.64
NonResidential;Hotel;MAGNOLIA / QUEEN ANNE;1996;1.0;4;162222;14200;148022;Hotel;113702.0;Parking;32692.0;none;0.0;76.0;69.90000153;70.5;150.5;151.1999969;7946961.0;8016521.0;0.0;1230205.625;4197462.0;37494.98828;3749499.0;228.4;1.41
NonResidential;University;EAST;1915;1.0;3;63330;0;63330;College/University;64820.0;none;0.0;none;0.0;;47.20000076;50.70000076;111.1999969;116.0;3059758.0;3284214.5;0.0;560100.6875;1911064.0;11486.94043;1148694.0;74.33;1.17
Campus;University;DELRIDGE;1970;27.0;2;441071;0;441071;College/University;483000.0;none;0.0;none;0.0;;79.30000305;85.19999695;192.8000031;202.6000061;38301744.0;41151732.0;0.0;7419277.5;25314575.0;129871.6641;12987166.0;866.23;1.96
NonResidential;Small- and Mid-Sized Office;NORTHEAST;2002;1.0;2;96300;0;96300;Office;92300.0;Data Center;4944.0;none;0.0;;167.8000031;167.3999939;476.5;471.1000061;16319835.0;16274449.0;0.0;4095456.0;13973696.0;23461.37109;2346137.0;222.02;2.31
Nonresidential COS;Other;GREATER DUWAMISH;1950;1.0;1;67356;0;67356;Repair Services (Vehicle, Shoe, Locksmith, etc);68359.0;none;0.0;none;0.0;;109.4000015;118.3000031;242.6999969;252.1000061;7475577.5;8086930.5;0.0;1225674.375;4182001.0;32935.76172;3293576.0;204.08;3.03
NonResidential;Small- and Mid-Sized Office;GREATER DUWAMISH;1958;1.0;1;54765;0;54765;Office;25765.0;Other;25000.0;none;0.0;;83.80000305;88.69999695;234.8999939;243.5;4253369.5;4503671.5;0.0;1046112.813;3569337.0;6840.320313;684032.0;61.21;1.12
NonResidential;Other;GREATER DUWAMISH;2009;1.0;5;89821;0;89821;Other - Lodging/Residential;46483.0;Office;37938.0;Food Service;4579.0;;21.89999962;25.0;24.60000038;27.89999962;1950092.5;2220796.5;0.0;19771.90039;67462.0;18826.30859;1882631.0;100.46;1.12
NonResidential;University;MAGNOLIA / QUEEN ANNE;1980;1.0;2;52611;0;52611;College/University;52611.0;none;0.0;none;0.0;;78.30000305;83.40000153;180.6999969;186.1000061;4116871.5;4390158.0;0.0;726633.375;2479273.0;16375.97852;1637598.0;104.26;1.98
NonResidential;Residence Hall;MAGNOLIA / QUEEN ANNE;2001;1.0;4;139600;37500;102100;Residence Hall/Dormitory;135520.0;none;0.0;none;0.0;89.0;32.79999924;35.40000153;70.19999695;74.69999695;4448582.5;4800620.5;0.0;678868.1875;2316298.0;21322.83984;2132284.0;129.39;0.93
SPS-District K-12;K-12 School;NORTH;2011;1.0;2;236758;0;236758;K-12 School;238550.0;Parking;0.0;none;0.0;96.0;35.0;38.90000153;78.69999695;84.40000153;8355988.5;9287467.0;0.0;1403853.5;4789948.0;35660.39453;3566039.0;222.78;0.94
NonResidential;Other;CENTRAL;1971;3.0;6;250981;0;250981;Other;137565.0;Courthouse;78357.0;none;0.0;;60.5;65.69999695;145.6000061;151.8000031;13071700.0;14196194.0;4336524.5;2390094.5;8155002.0;5801.719727;580172.0;422.39;1.68
